trait_id	trait_name
1	Corporeality
2	Age
3	Body Type 1
4	Body Type 2
5	Body Type 3
6	Ability To Fly
7	Underwater
8	Wetness Affinity
9	Heat Tolerance
10	Light Emitting
11	Diurnal/Nocturnal
12	Calm
13	Strong
14	Wise
15	Fast
16	Hardy
17	Rich
18	Physical
19	Balanced
20	Magical
21	Pyromancy
22	Aquamancy
23	Terramancy
24	Aeromancy
25	Luxormancy
26	Umbramacy
27	Avenger
28	Cloudy
29	Connection
30	Costal
31	Dealt In Kind
32	Death Consuming
33	Depths Dwelling
34	Elemental Stone
35	Fish
36	Flock
37	Forest Magic
38	Gulit
39	Healer
40	Hypocrisy Hater
41	Immolated
42	Isolation
43	Natural
44	Protector
45	Random Rainbow
46	Rebirth
47	Regenerator
48	Rooted
49	Steamy
50	Toxic
51	Vampire
