traits_name	trait_name	intensity
Flarial Traits	Corporeality	1
Flarial Traits	Age	1
Flarial Traits	Body Type 1	6
Flarial Traits	Ability To Fly	0
Flarial Traits	Underwater	0
Flarial Traits	Heat Tolerance	1
Flarial Traits	Light Emitting	1
Flarial Traits	Immolated	1
Pyrus Traits	Corporeality	1
Pyrus Traits	Age	2
Pyrus Traits	Body Type 1	21
Pyrus Traits	Ability To Fly	2
Pyrus Traits	Underwater	0
Pyrus Traits	Heat Tolerance	2
Pyrus Traits	Light Emitting	1
Pyrus Traits	Physical	1
Pyrus Traits	Immolated	2
Flarpup Traits	Corporeality	1
Flarpup Traits	Age	2
Flarpup Traits	Body Type 1	15
Flarpup Traits	Ability To Fly	0
Flarpup Traits	Underwater	0
Flarpup Traits	Heat Tolerance	1
Flarpup Traits	Magical	1
Flarpup Traits	Pyromancy	1
Flarpup Traits	Immolated	1
Pyro Symbol Traits	Corporeality	1
Pyro Symbol Traits	Age	2
Pyro Symbol Traits	Body Type 1	40
Pyro Symbol Traits	Ability To Fly	0
Pyro Symbol Traits	Underwater	0
Pyro Symbol Traits	Heat Tolerance	1
Pyro Symbol Traits	Magical	1
Pyro Symbol Traits	Pyromancy	1
Pyro Symbol Traits	Immolated	1
Pyos Traits	Corporeality	1
Pyos Traits	Age	3
Pyos Traits	Body Type 1	28
Pyos Traits	Underwater	0
Pyos Traits	Heat Tolerance	3
Pyos Traits	Light Emitting	2
Pyos Traits	Strong	1
Pyos Traits	Wise	-1
Pyos Traits	Physical	2
Pyos Traits	Immolated	3
Comet Traits	Corporeality	1
Comet Traits	Age	3
Comet Traits	Body Type 1	45
Comet Traits	Body Type 2	15
Comet Traits	Ability To Fly	2
Comet Traits	Underwater	0
Comet Traits	Heat Tolerance	3
Comet Traits	Light Emitting	1
Comet Traits	Fast	2
Comet Traits	Balanced	2
Comet Traits	Immolated	3
Fire Opal Traits	Corporeality	1
Fire Opal Traits	Age	3
Fire Opal Traits	Body Type 1	38
Fire Opal Traits	Ability To Fly	0
Fire Opal Traits	Underwater	0
Fire Opal Traits	Heat Tolerance	1
Fire Opal Traits	Rich	1
Fire Opal Traits	Balanced	1
Fire Opal Traits	Magical	1
Fire Opal Traits	Elemental Stone	1
Fire Opal Traits	Immolated	1
Pyro Elemental Traits	Corporeality	1
Pyro Elemental Traits	Age	3
Pyro Elemental Traits	Body Type 1	40
Pyro Elemental Traits	Ability To Fly	0
Pyro Elemental Traits	Underwater	0
Pyro Elemental Traits	Heat Tolerance	1
Pyro Elemental Traits	Wise	1
Pyro Elemental Traits	Magical	2
Pyro Elemental Traits	Pyromancy	2
Pyro Elemental Traits	Terramancy	1
Pyro Elemental Traits	Umbramacy	1
Pyro Elemental Traits	Immolated	1
Pyres Traits	Corporeality	1
Pyres Traits	Age	4
Pyres Traits	Body Type 1	12
Pyres Traits	Body Type 2	43
Pyres Traits	Body Type 3	24
Pyres Traits	Ability To Fly	0
Pyres Traits	Underwater	0
Pyres Traits	Heat Tolerance	4
Pyres Traits	Calm	-2
Pyres Traits	Strong	2
Pyres Traits	Wise	-2
Pyres Traits	Physical	3
Pyres Traits	Immolated	4
Bollide Traits	Corporeality	1
Bollide Traits	Age	4
Bollide Traits	Body Type 1	45
Bollide Traits	Ability To Fly	2
Bollide Traits	Underwater	0
Bollide Traits	Heat Tolerance	4
Bollide Traits	Fast	3
Bollide Traits	Balanced	3
Bollide Traits	Immolated	4
Ruby Triats	Corporeality	1
Ruby Triats	Age	4
Ruby Triats	Body Type 1	17
Ruby Triats	Ability To Fly	0
Ruby Triats	Underwater	0
Ruby Triats	Heat Tolerance	2
Ruby Triats	Rich	2
Ruby Triats	Balanced	2
Ruby Triats	Magical	2
Ruby Triats	Elemental Stone	2
Ruby Triats	Immolated	2
Primordial Pyro Elemental Traits	Corporeality	1
Primordial Pyro Elemental Traits	Age	4
Primordial Pyro Elemental Traits	Body Type 1	40
Primordial Pyro Elemental Traits	Heat Tolerance	2
Primordial Pyro Elemental Traits	Calm	-1
Primordial Pyro Elemental Traits	Strong	-1
Primordial Pyro Elemental Traits	Wise	2
Primordial Pyro Elemental Traits	Magical	3
Primordial Pyro Elemental Traits	Pyromancy	3
Primordial Pyro Elemental Traits	Aquamancy	1
Primordial Pyro Elemental Traits	Terramancy	1
Primordial Pyro Elemental Traits	Aeromancy	1
Primordial Pyro Elemental Traits	Luxormancy	1
Primordial Pyro Elemental Traits	Umbramacy	1
Primordial Pyro Elemental Traits	Immolated	2
Philammon Traits	Corporeality	3
Philammon Traits	Age	1
Philammon Traits	Body Type 1	6
Philammon Traits	Ability To Fly	1
Philammon Traits	Underwater	0
Philammon Traits	Heat Tolerance	1
Crerops Traits	Corporeality	1
Crerops Traits	Age	2
Crerops Traits	Body Type 1	21
Crerops Traits	Ability To Fly	2
Crerops Traits	Underwater	5
Crerops Traits	Heat Tolerance	2
Crerops Traits	Strong	1
Crerops Traits	Physical	1
Oil Puddle Traits	Corporeality	3
Oil Puddle Traits	Age	2
Oil Puddle Traits	Body Type 1	46
Oil Puddle Traits	Ability To Fly	2
Oil Puddle Traits	Underwater	0
Oil Puddle Traits	Heat Tolerance	2
Oil Puddle Traits	Balanced	1
Corynetes Traits	Corporeality	3
Corynetes Traits	Age	2
Corynetes Traits	Body Type 1	40
Corynetes Traits	Ability To Fly	0
Corynetes Traits	Underwater	5
Corynetes Traits	Heat Tolerance	2
Corynetes Traits	Magical	1
Philottus Traits	Corporeality	1
Philottus Traits	Age	3
Philottus Traits	Body Type 1	19
Philottus Traits	Body Type 2	21
Philottus Traits	Ability To Fly	3
Philottus Traits	Underwater	5
Philottus Traits	Heat Tolerance	3
Philottus Traits	Strong	2
Philottus Traits	Wise	-1
Philottus Traits	Physical	2
Lava Pool Traits	Corporeality	3
Lava Pool Traits	Age	3
Lava Pool Traits	Body Type 1	46
Lava Pool Traits	Ability To Fly	3
Lava Pool Traits	Underwater	0
Lava Pool Traits	Heat Tolerance	3
Lava Pool Traits	Calm	-1
Lava Pool Traits	Balanced	2
Cercyon Traits	Corporeality	3
Cercyon Traits	Age	3
Cercyon Traits	Body Type 1	46
Cercyon Traits	Ability To Fly	0
Cercyon Traits	Underwater	5
Cercyon Traits	Heat Tolerance	3
Cercyon Traits	Strong	-1
Cercyon Traits	Wise	1
Cercyon Traits	Magical	2
Vulcanous Traits	Corporeality	1
Vulcanous Traits	Age	4
Vulcanous Traits	Body Type 1	19
Vulcanous Traits	Ability To Fly	4
Vulcanous Traits	Underwater	5
Vulcanous Traits	Heat Tolerance	4
Vulcanous Traits	Calm	-1
Vulcanous Traits	Strong	3
Vulcanous Traits	Wise	-2
Vulcanous Traits	Physical	3
Magma Lake Traits	Corporeality	3
Magma Lake Traits	Age	4
Magma Lake Traits	Body Type 1	46
Magma Lake Traits	Ability To Fly	5
Magma Lake Traits	Underwater	0
Magma Lake Traits	Heat Tolerance	4
Magma Lake Traits	Calm	-2
Magma Lake Traits	Fast	-1
Magma Lake Traits	Balanced	3
Vagrus Traits	Corporeality	3
Vagrus Traits	Age	4
Vagrus Traits	Body Type 1	12
Vagrus Traits	Body Type 2	32
Vagrus Traits	Ability To Fly	0
Vagrus Traits	Underwater	5
Vagrus Traits	Heat Tolerance	4
Vagrus Traits	Calm	-1
Vagrus Traits	Strong	-2
Vagrus Traits	Wise	2
Vagrus Traits	Magical	3
Salamander Traits	Corporeality	1
Salamander Traits	Age	1
Salamander Traits	Body Type 1	24
Salamander Traits	Ability To Fly	2
Salamander Traits	Underwater	2
Salamander Traits	Strong	1
Salamander Traits	Wise	-1
Raptor Traits	Corporeality	1
Raptor Traits	Age	2
Raptor Traits	Body Type 1	28
Raptor Traits	Ability To Fly	3
Raptor Traits	Underwater	2
Raptor Traits	Strong	2
Raptor Traits	Physical	1
Winger Traits	Corporeality	1
Winger Traits	Age	2
Winger Traits	Body Type 1	3
Winger Traits	Ability To Fly	-1
Winger Traits	Underwater	2
Winger Traits	Fast	1
Winger Traits	Balanced	1
Herbisaur Traits	Corporeality	1
Herbisaur Traits	Age	2
Herbisaur Traits	Body Type 1	47
Herbisaur Traits	Ability To Fly	3
Herbisaur Traits	Underwater	2
Herbisaur Traits	Hardy	1
Herbisaur Traits	Magical	1
Herbisaur Traits	Protector	1
Tyrant Traits	Corporeality	1
Tyrant Traits	Age	3
Tyrant Traits	Body Type 1	43
Tyrant Traits	Ability To Fly	5
Tyrant Traits	Underwater	1
Tyrant Traits	Strong	3
Tyrant Traits	Wise	-2
Tyrant Traits	Fast	-1
Tyrant Traits	Physical	2
Steel Winger Traits	Corporeality	1
Steel Winger Traits	Age	3
Steel Winger Traits	Body Type 1	3
Steel Winger Traits	Ability To Fly	-3
Steel Winger Traits	Underwater	2
Steel Winger Traits	Fast	2
Steel Winger Traits	Balanced	2
Spikevorsaur Traits	Corporeality	1
Spikevorsaur Traits	Age	3
Spikevorsaur Traits	Body Type 1	47
Spikevorsaur Traits	Ability To Fly	5
Spikevorsaur Traits	Underwater	2
Spikevorsaur Traits	Hardy	2
Spikevorsaur Traits	Magical	2
Spikevorsaur Traits	Protector	2
Great White Tyrant Traits	Corporeality	1
Great White Tyrant Traits	Age	4
Great White Tyrant Traits	Body Type 1	43
Great White Tyrant Traits	Ability To Fly	5
Great White Tyrant Traits	Underwater	1
Great White Tyrant Traits	Strong	4
Great White Tyrant Traits	Wise	-3
Great White Tyrant Traits	Physical	3
Edge Winger Traits	Corporeality	1
Edge Winger Traits	Age	4
Edge Winger Traits	Body Type 1	3
Edge Winger Traits	Ability To Fly	-5
Edge Winger Traits	Underwater	2
Edge Winger Traits	Strong	1
Edge Winger Traits	Fast	3
Edge Winger Traits	Balanced	3
Broncheospikesaur Traits	Corporeality	1
Broncheospikesaur Traits	Age	4
Broncheospikesaur Traits	Body Type 1	47
Broncheospikesaur Traits	Ability To Fly	5
Broncheospikesaur Traits	Underwater	1
Broncheospikesaur Traits	Strong	1
Broncheospikesaur Traits	Hardy	3
Broncheospikesaur Traits	Magical	3
Broncheospikesaur Traits	Protector	3
Kangarat Traits	Corporeality	1
Kangarat Traits	Age	1
Kangarat Traits	Body Type 1	29
Kangarat Traits	Ability To Fly	1
Kangarat Traits	Underwater	2
Kangarat Traits	Wetness Affinity	-1
Kangarat Traits	Heat Tolerance	1
Slynx Traits	Corporeality	1
Slynx Traits	Age	2
Slynx Traits	Body Type 1	34
Slynx Traits	Ability To Fly	2
Slynx Traits	Underwater	2
Slynx Traits	Wetness Affinity	-2
Slynx Traits	Heat Tolerance	1
Slynx Traits	Physical	1
Skorpi Triats	Corporeality	1
Skorpi Triats	Age	2
Skorpi Triats	Body Type 1	31
Skorpi Triats	Ability To Fly	1
Skorpi Triats	Underwater	2
Skorpi Triats	Wetness Affinity	-2
Skorpi Triats	Heat Tolerance	1
Skorpi Triats	Balanced	1
Skorpi Triats	Toxic	1
Humpless Traits	Corporeality	1
Humpless Traits	Age	2
Humpless Traits	Body Type 1	7
Humpless Traits	Ability To Fly	3
Humpless Traits	Underwater	2
Humpless Traits	Wetness Affinity	-2
Humpless Traits	Heat Tolerance	1
Humpless Traits	Hardy	1
Humpless Traits	Magical	1
Sphynx Triats	Corporeality	1
Sphynx Triats	Age	3
Sphynx Triats	Body Type 1	34
Sphynx Triats	Ability To Fly	3
Sphynx Triats	Underwater	2
Sphynx Triats	Wetness Affinity	-3
Sphynx Triats	Heat Tolerance	2
Sphynx Triats	Strong	1
Sphynx Triats	Fast	1
Sphynx Triats	Physical	2
Scarpi Traits	Corporeality	1
Scarpi Traits	Age	3
Scarpi Traits	Body Type 1	31
Scarpi Traits	Ability To Fly	2
Scarpi Traits	Underwater	2
Scarpi Traits	Wetness Affinity	-3
Scarpi Traits	Heat Tolerance	2
Scarpi Traits	Balanced	2
Scarpi Traits	Toxic	2
Unihump Traits	Corporeality	1
Unihump Traits	Age	3
Unihump Traits	Body Type 1	7
Unihump Traits	Ability To Fly	5
Unihump Traits	Underwater	2
Unihump Traits	Wetness Affinity	-3
Unihump Traits	Heat Tolerance	2
Unihump Traits	Wise	1
Unihump Traits	Fast	-1
Unihump Traits	Hardy	2
Unihump Traits	Magical	2
Greater Sphynx Traits	Corporeality	1
Greater Sphynx Traits	Age	4
Greater Sphynx Traits	Body Type 1	34
Greater Sphynx Traits	Ability To Fly	5
Greater Sphynx Traits	Underwater	2
Greater Sphynx Traits	Wetness Affinity	-4
Greater Sphynx Traits	Heat Tolerance	3
Greater Sphynx Traits	Strong	2
Greater Sphynx Traits	Wise	2
Greater Sphynx Traits	Hardy	1
Greater Sphynx Traits	Physical	3
Scorpious Traits	Corporeality	1
Scorpious Traits	Age	4
Scorpious Traits	Body Type 1	31
Scorpious Traits	Ability To Fly	5
Scorpious Traits	Underwater	2
Scorpious Traits	Wetness Affinity	-4
Scorpious Traits	Heat Tolerance	3
Scorpious Traits	Fast	1
Scorpious Traits	Balanced	3
Scorpious Traits	Toxic	3
Bihump Traits	Corporeality	1
Bihump Traits	Age	4
Bihump Traits	Body Type 1	7
Bihump Traits	Ability To Fly	5
Bihump Traits	Underwater	2
Bihump Traits	Wetness Affinity	-4
Bihump Traits	Heat Tolerance	3
Bihump Traits	Strong	-1
Bihump Traits	Wise	2
Bihump Traits	Fast	-1
Bihump Traits	Hardy	3
Bihump Traits	Magical	3
Bihump Traits	Pyromancy	1
Bihump Traits	Aeromancy	1
Angier Traits	Corporeality	1
Angier Traits	Age	1
Angier Traits	Body Type 1	6
Angier Traits	Ability To Fly	1
Angier Traits	Underwater	2
Angier Traits	Dealt In Kind	1
Justicar Traits	Corporeality	1
Justicar Traits	Age	2
Justicar Traits	Body Type 1	33
Justicar Traits	Body Type 2	21
Justicar Traits	Ability To Fly	2
Justicar Traits	Underwater	2
Justicar Traits	Physical	1
Justicar Traits	Dealt In Kind	2
Justicar Traits	Gulit	1
Ayruved Traits	Corporeality	1
Ayruved Traits	Age	2
Ayruved Traits	Body Type 1	40
Ayruved Traits	Ability To Fly	0
Ayruved Traits	Underwater	3
Ayruved Traits	Magical	1
Ayruved Traits	Dealt In Kind	2
Ayruved Traits	Gulit	1
Ordinator Traits	Corporeality	1
Ordinator Traits	Age	3
Ordinator Traits	Body Type 1	33
Ordinator Traits	Body Type 2	21
Ordinator Traits	Ability To Fly	3
Ordinator Traits	Underwater	2
Ordinator Traits	Strong	1
Ordinator Traits	Physical	2
Ordinator Traits	Dealt In Kind	3
Ordinator Traits	Gulit	2
Anyr Triats	Corporeality	1
Anyr Triats	Age	3
Anyr Triats	Body Type 1	40
Anyr Triats	Ability To Fly	0
Anyr Triats	Underwater	3
Anyr Triats	Wise	1
Anyr Triats	Magical	2
Anyr Triats	Dealt In Kind	3
Anyr Triats	Gulit	2
Zireal Triats	Corporeality	1
Zireal Triats	Age	4
Zireal Triats	Body Type 1	33
Zireal Triats	Body Type 2	21
Zireal Triats	Ability To Fly	4
Zireal Triats	Underwater	3
Zireal Triats	Calm	1
Zireal Triats	Strong	2
Zireal Triats	Rich	1
Zireal Triats	Physical	3
Zireal Triats	Dealt In Kind	4
Zireal Triats	Gulit	3
Justicer Traits	Corporeality	1
Justicer Traits	Age	4
Justicer Traits	Body Type 1	40
Justicer Traits	Ability To Fly	0
Justicer Traits	Underwater	3
Justicer Traits	Calm	1
Justicer Traits	Wise	2
Justicer Traits	Magical	3
Justicer Traits	Dealt In Kind	4
Justicer Traits	Gulit	3
Spiten Traits	Corporeality	1
Spiten Traits	Age	1
Spiten Traits	Body Type 1	10
Spiten Traits	Ability To Fly	1
Spiten Traits	Underwater	3
Spiten Traits	Calm	-1
Jacobia Traits	Corporeality	1
Jacobia Traits	Age	2
Jacobia Traits	Body Type 1	10
Jacobia Traits	Ability To Fly	3
Jacobia Traits	Underwater	3
Jacobia Traits	Calm	-2
Jacobia Traits	Physical	1
Jacobia Traits	Dealt In Kind	1
Lizbet Traits	Corporeality	1
Lizbet Traits	Age	2
Lizbet Traits	Body Type 1	10
Lizbet Traits	Ability To Fly	0
Lizbet Traits	Underwater	4
Lizbet Traits	Calm	-2
Lizbet Traits	Magical	1
Lizbet Traits	Dealt In Kind	1
Letham Traits	Corporeality	1
Letham Traits	Age	3
Letham Traits	Body Type 1	10
Letham Traits	Ability To Fly	4
Letham Traits	Underwater	3
Letham Traits	Calm	-3
Letham Traits	Physical	2
Letham Traits	Dealt In Kind	2
D'Hoffry Traits	Corporeality	1
D'Hoffry Traits	Age	3
D'Hoffry Traits	Body Type 1	10
D'Hoffry Traits	Ability To Fly	-1
D'Hoffry Traits	Underwater	4
D'Hoffry Traits	Calm	-3
D'Hoffry Traits	Magical	2
D'Hoffry Traits	Dealt In Kind	2
Revenant Traits	Corporeality	1
Revenant Traits	Age	4
Revenant Traits	Body Type 1	10
Revenant Traits	Ability To Fly	4
Revenant Traits	Underwater	1
Revenant Traits	Calm	-4
Revenant Traits	Strong	2
Revenant Traits	Physical	3
Revenant Traits	Dealt In Kind	3
Halfrec Traits	Corporeality	1
Halfrec Traits	Age	4
Halfrec Traits	Body Type 1	10
Halfrec Traits	Ability To Fly	-2
Halfrec Traits	Underwater	4
Halfrec Traits	Calm	-4
Halfrec Traits	Wise	2
Halfrec Traits	Magical	3
Halfrec Traits	Dealt In Kind	3
Minor Steamlet Traits	Corporeality	3
Minor Steamlet Traits	Age	1
Minor Steamlet Traits	Body Type 1	37
Minor Steamlet Traits	Ability To Fly	0
Minor Steamlet Traits	Underwater	0
Minor Steamlet Traits	Steamy	1
Lesser Steamlet Traits	Corporeality	3
Lesser Steamlet Traits	Age	2
Lesser Steamlet Traits	Body Type 1	37
Lesser Steamlet Traits	Ability To Fly	0
Lesser Steamlet Traits	Underwater	0
Lesser Steamlet Traits	Physical	1
Lesser Steamlet Traits	Steamy	2
Scaldar Traits	Corporeality	3
Scaldar Traits	Age	2
Scaldar Traits	Body Type 1	37
Scaldar Traits	Ability To Fly	0
Scaldar Traits	Underwater	0
Scaldar Traits	Magical	1
Scaldar Traits	Steamy	2
Steamlet Traits	Corporeality	3
Steamlet Traits	Age	3
Steamlet Traits	Body Type 1	37
Steamlet Traits	Ability To Fly	0
Steamlet Traits	Underwater	0
Steamlet Traits	Heat Tolerance	1
Steamlet Traits	Physical	2
Steamlet Traits	Steamy	3
Excoriator Traits	Corporeality	3
Excoriator Traits	Age	3
Excoriator Traits	Body Type 1	37
Excoriator Traits	Ability To Fly	0
Excoriator Traits	Underwater	0
Excoriator Traits	Heat Tolerance	2
Excoriator Traits	Magical	2
Excoriator Traits	Steamy	3
Greater Steamlet Traits	Corporeality	3
Greater Steamlet Traits	Age	4
Greater Steamlet Traits	Body Type 1	37
Greater Steamlet Traits	Ability To Fly	0
Greater Steamlet Traits	Underwater	0
Greater Steamlet Traits	Heat Tolerance	2
Greater Steamlet Traits	Calm	-1
Greater Steamlet Traits	Physical	3
Greater Steamlet Traits	Steamy	4
Meldor Traits	Corporeality	3
Meldor Traits	Age	4
Meldor Traits	Body Type 1	37
Meldor Traits	Ability To Fly	0
Meldor Traits	Underwater	0
Meldor Traits	Heat Tolerance	3
Meldor Traits	Magical	3
Meldor Traits	Steamy	4
Minnow Traits	Corporeality	1
Minnow Traits	Age	1
Minnow Traits	Body Type 1	14
Minnow Traits	Ability To Fly	1
Minnow Traits	Underwater	6
Minnow Traits	Fish	1
Edgefin Traits	Corporeality	1
Edgefin Traits	Age	2
Edgefin Traits	Body Type 1	14
Edgefin Traits	Ability To Fly	2
Edgefin Traits	Underwater	6
Edgefin Traits	Wetness Affinity	1
Edgefin Traits	Heat Tolerance	-1
Edgefin Traits	Physical	1
Edgefin Traits	Fish	2
Cuddlerfish Traits	Corporeality	1
Cuddlerfish Traits	Age	2
Cuddlerfish Traits	Body Type 1	14
Cuddlerfish Traits	Ability To Fly	2
Cuddlerfish Traits	Underwater	6
Cuddlerfish Traits	Wetness Affinity	1
Cuddlerfish Traits	Heat Tolerance	-1
