trait_id,trait_name,trait_type
1,Corporeal,Corporeality
2,"Partially Corporeal",Corporeality
3,Incorporeal,Corporeality
4,Infant,Age
5,Adolescent,Age
6,Adult,Age
7,Elder,Age
8,Ancient,Age
9,"Water Breathing",Traversal
10,Submergible,Traversal
11,Unsubmergible,Traversal
12,"Light Emitting",Traversal
13,"Light Consuming",Traversal
14,Flying,Traversal
15,Floating,Traversal
16,Heavy,Traversal
17,Physical,Evolutionary
18,Balanced,Evolutionary
19,Magical,Evolutionary
20,Immolated,Inherited
21,Fish,Inherited
22,Natural,Inherited
23,Sandy,Inherited
24,"Dealt in kind",Inherited
25,Steamy,Inherited
26,Wet,Inherited
27,Cloudy,Inherited
28,"Depths Dwelling",Inherited
29,"Forest Magic",Inherited
30,Rooted,Inherited
31,Healer,Inherited
32,Toxic,Inherited
33,Rebirth,Inherited
34,Costal,Inherited
35,Flock,Inherited
36,Vampire,Inherited
37,Diurnal,Inherited
38,Nocturnal,Inherited
39,Protector,Inherited
40,Regenerator,Inherited
41,Avenger,Inherited
42,Connection,Inherited
43,Guilt,Inherited
44,"Hypocrisy Hater",Inherited
45,Isolation,Inherited
46,"Random Rainbow",Inherited
47,"Elemental Stone",Inherited
48,"Death Consuming",Inherited
49,Pyromancy,ElementalMagic
50,Aquamancy,ElementalMagic
51,Terramancy,ElementalMagic
52,Aeromancy,ElementalMagic
53,Luxormancy,ElementalMagic
54,Umbramancy,ElementalMagic
55,Calm,StatModifier
56,Hot,StatModifier
57,Strong,StatModifier
58,Wise,StatModifier
59,Fast,StatModifier
60,Hardy,StatModifier
61,Rich,StatModifier
